Generated: V2019
x,y,z,H2S[kg/h],--,--,--,exit vel.[m/s],diameter[m],Temp.[K],Source group,deposition parameters F2.5, F10,DiaMax,Density,VDep2.5,VDep10,VDepMax,Dep_Conc
-2379.6,5658.2,25.7,0.13,0,0,0,0.92,6.4,373,4,0,0,0,0,0,0,0,0
-158.6,1612.9,60,0.0738,0,0,0,17,5,343,5,0,0,0,0,0,0,0,0
343.7,1665.7,60,0.0459,0,0,0,13.75,6,333,6,0,0,0,0,0,0,0,0
-2829.1,5552.5,18.5,0.043,0,0,0,15.7,0.45,300,7,0,0,0,0,0,0,0,0
-2934.9,5526,18.5,0.043,0,0,0,15.7,0.45,300,8,0,0,0,0,0,0,0,0
-2961.3,5076.6,60,0.0338,0,0,0,11.7,5.5,353,9,0,0,0,0,0,0,0,0
-2591.2,5129.4,31,0.0215,0,0,0,13.9,4.2,323,10,0,0,0,0,0,0,0,0
-2591.2,5552.5,28.7,0.015,0,0,0,15.1,2.7,338,11,0,0,0,0,0,0,0,0
-2749.8,5367.4,28.7,0.015,0,0,0,15.1,2.7,338,12,0,0,0,0,0,0,0,0
-132.6,1837.6,100,1571.2499999999998,0,0,0,8.06,4.2,343,1,0,0,0,0,0,0,0,0
-185.5,4190.8,5,0.18700000000000003,0,0,0,0,1,293,13,0,0,0,0,0,0,0,0
